 # Adrien Atallah
 # Project 5
 # Contains time vs. location for planet 1 and planet 2 plus the energy of the system
 # t, x1, y1, x2, y2, Energy
   23800000.      3.33007744E+08  1.97390432E+08  7.56505068E+10  1.39996709E+11  6.91281183E+26
   23850000.      3.03861120E+08  2.39078400E+08  7.55993477E+10  1.39996692E+11  6.91275501E+26
   23900000.      2.69486592E+08  2.76652384E+08  7.55481887E+10  1.39996676E+11  6.91270336E+26
   23950000.      2.30460224E+08  3.09450176E+08  7.54970296E+10  1.39996660E+11  6.91264138E+26
   24000000.      1.87444208E+08  3.36890208E+08  7.54458706E+10  1.39996643E+11  6.91257128E+26
   24050000.      1.41175360E+08  3.58483296E+08  7.53947116E+10  1.39996627E+11  6.91254029E+26
   24100000.       92451960.      3.73842912E+08  7.53435525E+10  1.39996611E+11  6.91246355E+26
   24150000.       42118956.      3.82693184E+08  7.52923935E+10  1.39996594E+11  6.91236984E+26
   24200000.      -8947918.0      3.84874816E+08  7.52412344E+10  1.39996578E+11  6.91230343E+26
   24250000.      -59858848.      3.80348480E+08  7.51900754E+10  1.39996561E+11  6.91224957E+26
   24300000.     -1.09727016E+08  3.69195680E+08  7.51389164E+10  1.39996545E+11  6.91219349E+26
   24350000.     -1.57685568E+08  3.51616992E+08  7.50877573E+10  1.39996529E+11  6.91216324E+26
   24400000.     -2.02904112E+08  3.27927808E+08  7.50365983E+10  1.39996512E+11  6.91209683E+26
   24450000.     -2.44604240E+08  2.98551616E+08  7.49854392E+10  1.39996496E+11  6.91205403E+26
